Name  ,Metric,Value
Jamal Crawford ,FTP,0.872
Yao Ming ,FTP,0.866
Richard Jefferson ,FTP,0.805
Jason Terry ,FTP,0.88
Deron Williams ,FTP,0.849
Tim Duncan ,FTP,0.692
Monta Ellis ,FTP,0.83
Rudy Gay ,FTP,0.767
Pau Gasol ,FTP,0.781
Andre Iguodala ,FTP,0.724
Corey Maggette ,FTP,0.824
O.J. Mayo ,FTP,0.879
John Salmons ,FTP,0.83
Richard Hamilton ,FTP,0.848
Ray Allen ,FTP,0.952
LaMarcus Aldridge ,FTP,0.781
Josh Howard ,FTP,0.782
Maurice Williams ,FTP,0.912
Shaquille O'neal ,FTP,0.595
Rashard Lewis ,FTP,0.836
Chauncey Billups ,FTP,0.913
Allen Iverson ,FTP,0.781
Nate Robinson ,FTP,0.841
Dwyane Wade ,3PM,1.1
LeBron James ,3PM,1.6
Kobe Bryant ,3PM,1.4
Dirk Nowitzki ,3PM,0.8
Danny Granger ,3PM,2.7
Kevin Durant ,3PM,1.3
Kevin Martin ,3PM,2.3
Al Jefferson ,3PM,0.0
Chris Paul ,3PM,0.8
Carmelo Anthony ,3PM,1.0
Chris Bosh ,3PM,0.2
Brandon Roy ,3PM,1.1
Antawn Jamison ,3PM,1.4
Tony Parker ,3PM,0.3
Amare Stoudemire ,3PM,0.1
Joe Johnson ,3PM,1.9
Devin Harris ,3PM,0.9
Michael Redd ,3PM,2.1
David West ,3PM,0.1
Zachary Randolph ,3PM,0.6
Caron Butler ,3PM,1.0
Vince Carter ,3PM,1.9
Stephen Jackson ,3PM,1.7
Ben Gordon ,3PM,2.1
Dwight Howard ,3PM,0.0
Paul Pierce ,3PM,1.5
Al Harrington ,3PM,2.3
Jamal Crawford ,3PM,2.2
Yao Ming ,3PM,0.0
Richard Jefferson ,3PM,1.4
Jason Terry ,3PM,2.3
Deron Williams ,3PM,1.0
Tim Duncan ,3PM,0.0
Monta Ellis ,3PM,0.3
Rudy Gay ,3PM,1.1
Pau Gasol ,3PM,0.0
Andre Iguodala ,3PM,1.0
Corey Maggette ,3PM,0.5
O.J. Mayo ,3PM,1.8
John Salmons ,3PM,1.6
Richard Hamilton ,3PM,1.0
Ray Allen ,3PM,2.5
LaMarcus Aldridge ,3PM,0.1
Josh Howard ,3PM,1.1
Maurice Williams ,3PM,2.3
Shaquille O'neal ,3PM,0.0
Rashard Lewis ,3PM,2.8
Chauncey Billups ,3PM,2.1
Allen Iverson ,3PM,0.5
Nate Robinson ,3PM,1.7
Dwyane Wade ,3PA,3.5
LeBron James ,3PA,4.7
Kobe Bryant ,3PA,4.1
Dirk Nowitzki ,3PA,2.1
Danny Granger ,3PA,6.7
Kevin Durant ,3PA,3.1
Kevin Martin ,3PA,5.4
Al Jefferson ,3PA,0.1
Chris Paul ,3PA,2.3
Carmelo Anthony ,3PA,2.6
Chris Bosh ,3PA,0.6
Brandon Roy ,3PA,2.8
Antawn Jamison ,3PA,3.9
Tony Parker ,3PA,0.9
Amare Stoudemire ,3PA,0.1
Joe Johnson ,3PA,5.2
Devin Harris ,3PA,3.2
Michael Redd ,3PA,5.8
David West ,3PA,0.3
Zachary Randolph ,3PA,1.9
Caron Butler ,3PA,3.1
Vince Carter ,3PA,4.9
Stephen Jackson ,3PA,5.2
Ben Gordon ,3PA,5.1
Dwight Howard ,3PA,0.0
Paul Pierce ,3PA,3.8
Al Harrington ,3PA,6.4
Jamal Crawford ,3PA,6.1
Yao Ming ,3PA,0.0
Richard Jefferson ,3PA,3.6
Jason Terry ,3PA,6.2
Deron Williams ,3PA,3.3
Tim Duncan ,3PA,0.0
Monta Ellis ,3PA,1.0
Rudy Gay ,3PA,3.1
Pau Gasol ,3PA,0.0
Andre Iguodala ,3PA,3.2
Corey Maggette ,3PA,1.9
O.J. Mayo ,3PA,4.6
John Salmons ,3PA,3.8
Richard Hamilton ,3PA,2.8
Ray Allen ,3PA,6.2
LaMarcus Aldridge ,3PA,0.3
Josh Howard ,3PA,3.2
Maurice Williams ,3PA,5.2
Shaquille O'neal ,3PA,0.0
Rashard Lewis ,3PA,7.0
Chauncey Billups ,3PA,5.0
Allen Iverson ,3PA,1.7
Nate Robinson ,3PA,5.2
Dwyane Wade ,3PP,0.317
LeBron James ,3PP,0.344
Kobe Bryant ,3PP,0.351
Dirk Nowitzki ,3PP,0.359
Danny Granger ,3PP,0.404
Kevin Durant ,3PP,0.422
Kevin Martin ,3PP,0.415
Al Jefferson ,3PP,0.0
Chris Paul ,3PP,0.364
Carmelo Anthony ,3PP,0.371
Chris Bosh ,3PP,0.245
Brandon Roy ,3PP,0.377
Antawn Jamison ,3PP,0.351
Tony Parker ,3PP,0.292
Amare Stoudemire ,3PP,0.429
Joe Johnson ,3PP,0.36
Devin Harris ,3PP,0.291
Michael Redd ,3PP,0.366
David West ,3PP,0.24
Zachary Randolph ,3PP,0.33
Caron Butler ,3PP,0.31
Vince Carter ,3PP,0.385
Stephen Jackson ,3PP,0.338
Ben Gordon ,3PP,0.41
Dwight Howard ,3PP,0.0
Paul Pierce ,3PP,0.391
Al Harrington ,3PP,0.364
Jamal Crawford ,3PP,0.36
Yao Ming ,3PP,1.0
Richard Jefferson ,3PP,0.397
Jason Terry ,3PP,0.366
Deron Williams ,3PP,0.31
Tim Duncan ,3PP,0.0
Monta Ellis ,3PP,0.308
Rudy Gay ,3PP,0.351
Pau Gasol ,3PP,0.5
Andre Iguodala ,3PP,0.307
Corey Maggette ,3PP,0.253
O.J. Mayo ,3PP,0.384
John Salmons ,3PP,0.417
Richard Hamilton ,3PP,0.368
Ray Allen ,3PP,0.409
LaMarcus Aldridge ,3PP,0.25
Josh Howard ,3PP,0.345
Maurice Williams ,3PP,0.436
Shaquille O'neal ,3PP,0.0
Rashard Lewis ,3PP,0.397
Chauncey Billups ,3PP,0.408
Allen Iverson ,3PP,0.283
Nate Robinson ,3PP,0.325
Dwyane Wade ,ORB,1.1
LeBron James ,ORB,1.3
Kobe Bryant ,ORB,1.1
Dirk Nowitzki ,ORB,1.1
Danny Granger ,ORB,0.7
Kevin Durant ,ORB,1.0
Kevin Martin ,ORB,0.6
Al Jefferson ,ORB,3.4
Chris Paul ,ORB,0.9
Carmelo Anthony ,ORB,1.6
Chris Bosh ,ORB,2.8
Brandon Roy ,ORB,1.3
Antawn Jamison ,ORB,2.4
Tony Parker ,ORB,0.4
Amare Stoudemire ,ORB,2.2
Joe Johnson ,ORB,0.8
Devin Harris ,ORB,0.4
Michael Redd ,ORB,0.7
David West ,ORB,2.1
Zachary Randolph ,ORB,3.1
Caron Butler ,ORB,1.8
Vince Carter ,ORB,0.9
Stephen Jackson ,ORB,1.2
Ben Gordon ,ORB,0.6
Dwight Howard ,ORB,4.3
Paul Pierce ,ORB,0.7
Al Harrington ,ORB,1.4
Jamal Crawford ,ORB,0.4
Yao Ming ,ORB,2.6
Richard Jefferson ,ORB,0.7
Jason Terry ,ORB,0.5
Deron Williams ,ORB,0.4
Tim Duncan ,ORB,2.7
Monta Ellis ,ORB,0.6
Rudy Gay ,ORB,1.4
Pau Gasol ,ORB,3.2
Andre Iguodala ,ORB,1.1
Corey Maggette ,ORB,1.0
O.J. Mayo ,ORB,0.7
John Salmons ,ORB,0.7
